index,cpuacct.usage,deltaPeriods,deltaThrottledTime,throttledPercent,cache_bytes,mem_activity_in_mb,mem_activity_out_mb,mem_usage_bytes,swap_bytes,rssanon_kb,rssfile_kb,vmrss_kb,vmswap_kb,activeCount,completedTaskCount,corePoolSize,poolSize,queueSize,taskCount,sbp.sbt.dataspacecore.lib.commandhandlers.CreateCommandHandler_emtpy,sbp.sbt.dataspacecore.lib.commandhandlers.CreateCommandHandler_count:1;commands:c.Contract,sbp.sbt.dataspacecore.lib.commandhandlers.CreateCommandHandler_count:1;commands:g.Contract,sbp.sbt.dataspacecore.lib.commandhandlers.CreateCommandHandler_count:1;commands:c.ProductParty,sbp.com.sbt.dataspace.locks.TransactionLockProviderImpl_emtpy,sbp.com.sbt.dataspace.locks.TransactionLockProviderImpl_count:1;commands:c.Contract,sbp.com.sbt.dataspace.locks.TransactionLockProviderImpl_count:1;commands:g.Contract,sbp.com.sbt.dataspace.locks.TransactionLockProviderImpl_count:1;commands:c.ProductParty,sbp.sbt.dataspacecore.lib.packet.processor.PacketExecutorImpl_emtpy,sbp.sbt.dataspacecore.lib.packet.processor.PacketExecutorImpl_count:1;commands:c.Contract,sbp.sbt.dataspacecore.lib.packet.processor.PacketExecutorImpl_count:1;commands:g.Contract,sbp.sbt.dataspacecore.lib.packet.processor.PacketExecutorImpl_count:1;commands:c.ProductParty,sbp.sbt.dataspacecore.module.rpc.PacketRpcServiceImpl_emtpy,sbp.sbt.dataspacecore.module.rpc.PacketRpcServiceImpl_count:1;commands:c.Contract,sbp.sbt.dataspacecore.module.rpc.PacketRpcServiceImpl_count:1;commands:g.Contract,sbp.sbt.dataspacecore.module.rpc.PacketRpcServiceImpl_count:1;commands:c.ProductParty,sbp.sbt.dataspacecore.lib.commandhandlers.GetCommandHandler_emtpy,sbp.sbt.dataspacecore.lib.commandhandlers.GetCommandHandler_count:1;commands:c.Contract,sbp.sbt.dataspacecore.lib.commandhandlers.GetCommandHandler_count:1;commands:g.Contract,sbp.sbt.dataspacecore.lib.commandhandlers.GetCommandHandler_count:1;commands:c.ProductParty,ProxyDataSource.getConnection,batch,HikariProxyPreparedStatement.close,UPDATE,HikariProxyPreparedStatement.executeQuery,INSERT,HikariProxyPreparedStatement.executeUpdate,HikariProxyConnection.commit,HikariProxyConnection.close,SELECT,HikariProxyConnection.createStatement,HikariProxyStatement.executeQuery,HikariProxyStatement.close,GCLockerInitiatedGC_count,GCLockerInitiatedGC_mean,GCLockerInitiatedGC_sum,GCLockerInitiatedGC_upper,G1EvacuationPause_count,G1EvacuationPause_mean,G1EvacuationPause_sum,G1EvacuationPause_upper,MetadataGCThreshold_count,MetadataGCThreshold_mean,MetadataGCThreshold_sum,MetadataGCThreshold_upper,target,value,latency,success
2020-12-11 15:59:14+00:00,1056,10,0.798088,10,117.6875,619,221,1774948352,0,1.5316162109375,0.02245330810546875,1.5540695190429688,0.0,0,250,10,10,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,49.0,0.24,0
2020-12-11 15:59:14+00:00,1056,10,0.798088,10,117.6875,619,221,1774948352,0,1.5316162109375,0.02245330810546875,1.5540695190429688,0.0,0,250,10,10,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,0.3,0
2020-12-11 15:59:14+00:00,1056,10,0.798088,10,117.6875,619,221,1774948352,0,1.5316162109375,0.02245330810546875,1.5540695190429688,0.0,0,250,10,10,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.0,0.36,0
2020-12-11 15:59:14+00:00,1056,10,0.798088,10,117.6875,619,221,1774948352,0,1.5316162109375,0.02245330810546875,1.5540695190429688,0.0,0,250,10,10,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,85.0,0.42,0
2020-12-11 15:59:14+00:00,1056,10,0.798088,10,117.6875,619,221,1774948352,0,1.5316162109375,0.02245330810546875,1.5540695190429688,0.0,0,250,10,10,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,0.16,0
2020-12-11 15:59:14+00:00,1056,10,0.798088,10,117.6875,619,221,1774948352,0,1.5316162109375,0.02245330810546875,1.5540695190429688,0.0,0,250,10,10,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,81.0,0.4,0
2020-12-11 15:59:15+00:00,2058,10,2848.769319,100,118.609375,623,222,1778233344,0,1.53302001953125,0.02245330810546875,1.5554733276367188,0.0,15,282,10,17,1,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,135.0,0.68,0
2020-12-11 15:59:15+00:00,2058,10,2848.769319,100,118.609375,623,222,1778233344,0,1.53302001953125,0.02245330810546875,1.5554733276367188,0.0,15,282,10,17,1,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,0.38,0
2020-12-11 15:59:15+00:00,2058,10,2848.769319,100,118.609375,623,222,1778233344,0,1.53302001953125,0.02245330810546875,1.5554733276367188,0.0,15,282,10,17,1,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,180.0,0.9,0
2020-12-11 15:59:15+00:00,2058,10,2848.769319,100,118.609375,623,222,1778233344,0,1.53302001953125,0.02245330810546875,1.5554733276367188,0.0,15,282,10,17,1,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,115.0,0.57,0
